"lat","lon","param","floweringTime","freshWeightAtFlowering","leafNumberAtFlowering","hasEmerged","eme","growingTime","baseFloweringTime","baseFreshWeightAtFlowering","baseLeafNumberAtFlowering","baseHasEmerged","baseEme","baseParam","baseGrowingTime","floweringTimeSens","growingTimeSens","leafNumberAtFloweringSens","rosetteWeight","baseRosetteWeight","rosetteWeightSens"
39.75,-4.5,13,2232,41.241862,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,130,2232,41.221086,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.02055,0.020557,-7.00000000000006e-06
39.75,-4.5,131,2232,41.218997,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020549,0.020557,-7.99999999999759e-06
39.75,-4.5,132,2232,41.230814,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020553,0.020557,-4.00000000000053e-06
39.75,-4.5,133,2232,41.202934,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020544,0.020557,-1.29999999999991e-05
39.75,-4.5,134,2232,41.211287,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020547,0.020557,-9.99999999999959e-06
39.75,-4.5,135,2256,44.159969,25,1,193,2063,2232,41.241862,25,1,193,0,2039,24,24,0,0.020552,0.020557,-4.99999999999806e-06
39.75,-4.5,136,2256,44.168896,25,1,193,2063,2232,41.241862,25,1,193,0,2039,24,24,0,0.020554,0.020557,-2.99999999999953e-06
39.75,-4.5,137,2232,41.248692,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020559,0.020557,2.000000000002e-06
39.75,-4.5,138,2232,41.236736,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020555,0.020557,-1.99999999999853e-06
39.75,-4.5,139,2232,41.235559,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020555,0.020557,-1.99999999999853e-06
39.75,-4.5,14,2232,41.241862,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,140,2232,41.229976,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020553,0.020557,-4.00000000000053e-06
39.75,-4.5,141,2232,41.229523,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020553,0.020557,-4.00000000000053e-06
39.75,-4.5,142,2232,41.240279,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020556,0.020557,-9.99999999997531e-07
39.75,-4.5,143,2232,41.251749,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.02056,0.020557,2.99999999999953e-06
39.75,-4.5,144,2232,41.234501,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020554,0.020557,-2.99999999999953e-06
39.75,-4.5,145,2232,41.241811,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,146,2232,41.237104,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020555,0.020557,-1.99999999999853e-06
39.75,-4.5,147,2232,41.241928,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,148,2232,41.240996,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020556,0.020557,-9.99999999997531e-07
39.75,-4.5,149,2232,41.238361,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020555,0.020557,-1.99999999999853e-06
39.75,-4.5,15,2184,36.778026,24,1,193,1991,2232,41.241862,25,1,193,0,2039,-48,-48,-1,0.020557,0.020557,0
39.75,-4.5,150,2232,41.241757,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,151,2232,41.248442,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020558,0.020557,1.000000000001e-06
39.75,-4.5,152,2232,41.243149,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,153,2232,41.235649,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020554,0.020557,-2.99999999999953e-06
39.75,-4.5,154,2232,41.240943,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020556,0.020557,-9.99999999997531e-07
39.75,-4.5,155,2232,41.241862,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,156,2232,41.244672,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,157,2232,41.216687,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020548,0.020557,-8.99999999999859e-06
39.75,-4.5,158,2232,41.252365,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.02056,0.020557,2.99999999999953e-06
39.75,-4.5,159,2232,41.225592,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020551,0.020557,-5.99999999999906e-06
39.75,-4.5,16,2232,41.241862,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,160,2232,41.241328,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020556,0.020557,-9.99999999997531e-07
