"lat","lon","param","floweringTime","freshWeightAtFlowering","leafNumberAtFlowering","hasEmerged","eme","growingTime","baseFloweringTime","baseFreshWeightAtFlowering","baseLeafNumberAtFlowering","baseHasEmerged","baseEme","baseParam","baseGrowingTime","floweringTimeSens","growingTimeSens","leafNumberAtFloweringSens","rosetteWeight","baseRosetteWeight","rosetteWeightSens"
39.75,-4.5,199,936,1.093734,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040129,0.040215,-8.60000000000027e-05
39.75,-4.5,2,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,20,936,1.099229,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040222,0.040215,7.00000000000006e-06
39.75,-4.5,200,936,1.100793,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040301,0.040215,8.59999999999958e-05
39.75,-4.5,201,936,1.093733,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040129,0.040215,-8.60000000000027e-05
39.75,-4.5,202,936,1.09493,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040155,0.040215,-5.99999999999976e-05
39.75,-4.5,203,936,1.09408,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040131,0.040215,-8.40000000000007e-05
39.75,-4.5,204,936,1.098993,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040257,0.040215,4.20000000000004e-05
39.75,-4.5,205,936,1.102752,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040358,0.040215,0.000142999999999997
39.75,-4.5,206,936,1.099296,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040274,0.040215,5.89999999999966e-05
39.75,-4.5,207,936,1.097269,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,21,936,1.099598,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040307,0.040215,9.20000000000018e-05
39.75,-4.5,22,936,1.097687,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040153,0.040215,-6.19999999999996e-05
39.75,-4.5,23,936,1.095308,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040208,0.040215,-7.00000000000006e-06
39.75,-4.5,24,936,1.109553,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040281,0.040215,6.59999999999966e-05
39.75,-4.5,25,936,1.089154,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040177,0.040215,-3.80000000000033e-05
39.75,-4.5,26,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,27,936,1.098795,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040242,0.040215,2.69999999999992e-05
39.75,-4.5,28,936,1.09707,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040264,0.040215,4.90000000000004e-05
39.75,-4.5,29,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,3,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,30,936,1.046929,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.039158,0.040215,-0.001057
39.75,-4.5,31,936,1.095308,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040208,0.040215,-7.00000000000006e-06
39.75,-4.5,32,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,33,936,1.108248,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040618,0.040215,0.000403000000000001
39.75,-4.5,34,936,1.098129,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040247,0.040215,3.19999999999973e-05
39.75,-4.5,35,936,1.09794,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.04024,0.040215,2.49999999999972e-05
39.75,-4.5,36,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,37,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,38,936,1.158152,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.041408,0.040215,0.001193
39.75,-4.5,39,936,1.126214,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040675,0.040215,0.000460000000000002
39.75,-4.5,4,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,40,936,1.119489,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040611,0.040215,0.000396000000000001
39.75,-4.5,41,936,1.071066,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.039645,0.040215,-0.000570000000000001
39.75,-4.5,42,936,1.089359,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040074,0.040215,-0.000141000000000002
39.75,-4.5,43,936,1.112064,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040525,0.040215,0.000309999999999998
39.75,-4.5,44,936,1.053892,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.039451,0.040215,-0.000764000000000001
39.75,-4.5,45,936,1.082298,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.039902,0.040215,-0.000313000000000001
39.75,-4.5,46,936,1.084442,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.039962,0.040215,-0.000253000000000003
39.75,-4.5,47,936,1.10292,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040303,0.040215,8.79999999999978e-05
39.75,-4.5,48,936,1.096043,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040198,0.040215,-1.70000000000031e-05
39.75,-4.5,49,936,1.13231,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040959,0.040215,0.000744000000000002
39.75,-4.5,5,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,50,936,1.092411,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040165,0.040215,-5.00000000000014e-05
39.75,-4.5,51,936,1.077807,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.039983,0.040215,-0.000232000000000003
39.75,-4.5,52,936,1.130594,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040645,0.040215,0.00043
39.75,-4.5,53,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,54,936,1.096287,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040194,0.040215,-2.10000000000002e-05
39.75,-4.5,55,936,1.102871,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040334,0.040215,0.000119000000000001
39.75,-4.5,56,936,1.103223,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040321,0.040215,0.000106000000000002
39.75,-4.5,57,936,1.087768,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.039934,0.040215,-0.000281000000000003
39.75,-4.5,58,936,1.088562,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040017,0.040215,-0.000198000000000004
39.75,-4.5,59,936,1.164012,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.041527,0.040215,0.001312
39.75,-4.5,6,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,60,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,61,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,62,936,1.094356,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040147,0.040215,-6.79999999999986e-05
39.75,-4.5,63,936,1.130065,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.041091,0.040215,0.000876000000000002
39.75,-4.5,64,936,1.084496,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.03996,0.040215,-0.000254999999999998
39.75,-4.5,65,936,1.094385,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040165,0.040215,-5.00000000000014e-05
39.75,-4.5,66,936,1.092604,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040146,0.040215,-6.89999999999996e-05
39.75,-4.5,67,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,68,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,69,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,7,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,70,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,71,936,1.140817,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.04088,0.040215,0.000664999999999999
39.75,-4.5,72,936,1.079432,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.03999,0.040215,-0.000225000000000003
39.75,-4.5,73,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,74,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,75,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,76,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,77,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,78,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,79,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,8,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,80,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,81,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,82,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,83,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,84,936,1.097291,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,85,936,1.097257,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040216,0.040215,1.000000000001e-06
39.75,-4.5,86,936,1.097346,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040218,0.040215,2.99999999999606e-06
39.75,-4.5,87,936,1.097561,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040222,0.040215,7.00000000000006e-06
39.75,-4.5,88,936,1.096423,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040195,0.040215,-1.99999999999992e-05
39.75,-4.5,89,936,1.097392,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040219,0.040215,3.99999999999706e-06
39.75,-4.5,9,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
